,Вопрос,Ответ 1,Ответ 2,Ответ 3,Ответ 4
287,"Слово кибернетика - производное от греческого слова, означающего:",Искусство управления,Быстрый счет,Божественное знание,Направленное действие
288,Что обозначала буква О в аббревиатуре ОГПУ?,Объединенное,Общесоюзное,Оборонное,Отдельное
289,У автомобилей какой из этих стран международный регистрационный знак ES?,Сальвадор,Египет,Эстония,Испания
290,"Как называли низкосортную, дешёвую колбасу?","""собачья радость""","""крокодиловы слёзы""","""телячьи нежности""","""лебединая песня"""
291,"Какое из этих мясных блюд, можно отнести к колбасным изделиям?",Зельц,Бастурма,Карбонад,Буженина
292,Музыка к какому балету написана не Родионом Щедриным?,«Спартак»,«Чайка»,«Анна Каренина»,«Конёк-Горбунок»
293,"Где два Стивена, Джобс и Возняк, собрали свой первый полноценный персональный компьютер?",в гараже,на чердаке,на кухне,в сауне
294,Кто стрелял в Мадонну во время выступления на стадионе Джонна Кеннеди?,Шон Пенн,Уорен Битти,Хаттаб Эмир,Джон Хинки
295,Какой танец на придворных балах начала XIX века исполняли первым?,Полонез,Менуэт,Вальс,Мазурка
296,Какой город является административным центром (столицей) штата Техас?,Остин,Даллас,Хьюстон,Сан-Антонио
297,Как называется один из важнейших фондовых индексов в Японии?,Nikkei,Yisei,Nippon,Nisei
298,Какой город с 1845 по 1936 годы называли Тифлисом?,Тбилиси,Туапсе,Кутаиси,Сухуми
299,"Как называется документ, определяющий правила награждения орденом и его ношения?",Статут,Статус,Хартия,Устав
300,"Как назывался ящик, в который при царе Алексее Михайловиче складывали жалобы на дьяков и подьячих?",долгий,короткий,чёрный,ящик Пандоры
301,"Кто автор подписи на Могиле Неизвестного Солдата «Имя твоё неизвестно, подвиг твой бессмертен»?",Сергей Михалков,Максим Горький,Иосиф Сталин,Георгий Жуков
302,Как настоящая фамилия Игоря Северянина?,Лотарев,Лопарев,Лекарев,Лазарев
303,"Как звали последнего царя Македонии, правившего до 168 г. до н. э.?",Персей,Тесей,Протей,Антей
304,Как называется фильм Серджо Леоне?,«Однажды в Америке»,"""Порой в Европе""",«Раз в Африке»,«Когда-то в Антарктиде»
305,"Кого В.Серов изобразил на картине ""Девочка с персиками""?",Дочь мецената Саввы Мамонтова,Племяннику Михаила Врубеля,Подружку сына Виктора Васнецова,Свою двоюродную сестру
306,В каком отделе позвоночника человека позвонки являются неподвижными?,В крестцовом,В шейном,В грудном,В поясничном
307,Какую из этих пьес написал М. Булгаков?,"""Зойкина квартира""","""Машенька""","""Таня""","""Любовь Яровая"""
308,"Судебный психиатр и криминалист, родоначальник антропологического направления в криминологии",Ч. Ломброзо,Р. Ринальдини,Т. ди Лампедуза,Ф. Бартоломмео
309,Какой из этих драгоценных камней является разновидностью минералов циркона?,Гиацинт,Гелиодор,Альмандин,Хризопраз
310,Кто из этих военачальников не был министром обороны СССР?,И. С. Конев,Г. К. Жуков,Р. Я. Малиновский,А. А. Гречко
311,Кто убил Петра Столыпина?,Богров,Засулич,Перовская,Азеф
312,"С кого собирал налоги Земский приказ, созданный в 1564 году и просуществовавший до 1699 года?",с жителей Москвы,с крестьян российских деревень,с торговцев зерном,с крупных землевладельцев
313,Чем или кем при российском дворе заведовал шталмейстер?,Царскими конюшнями,Царскими покоями,Царской псарней,Дворцовыми слугами
314,На гербе какого государства изображены черные пантеры?,Габон,Нигер,Малави,Кот-д'Ивуар
315,"Кому из борцов за гражданские права принадлежит фраза ""У меня есть мечта...""?",Мартину Лютеру Кингу,Махатме Ганди,Роберту Кеннеди,Анджеле Дэвис
316,Какой нагревательный прибор не имеет фитиля?,примус,керосинка,керогаз,спиртовка
317,Какое правило помогает определить направление магнитного поля электрического тока?,Правило буравчика,Правило винтика,Правило шпунтика,Правило шурупчика
318,"Что чинил кот-бегемот из романа ""Мастер и Маргарита""?",примус,плитку,автомобиль,велосипед
319,"Визитной карточкой какой рок-группы стали длиннющие, обычно рыжие, бороды солистов?","""Зи Зи Топ""","""Пинк Флойд""","""Лед Зеппелин""","""Дип Пёрпл"""
320,Какое из этих деревьев - не из семейства березовых?,Берест,Ольха,Карельская береза,Граб
321,За чем не едет герой известной песенки Юрия Кукина?,за деньгами,за мечтами,за туманом,за запахом тайги
322,"На фасаде какой гостиницы Москвы можно увидеть панно Врубеля ""Принцесса Грёза""?","""Метрополь""","""Националь""","""Будапешт""","""Савой"""
323,"Что означает прозвище Калигула, под которым известен один из римских императоров?",Сапожок,Ящерка,Маленький меч,Короткий плащ
324,"Какое животное изображено на картине Леонардо да Винчи ""Дама с горностаем""?",Хорек (альбинос),Горностай,Ласка,Норка
325,"За что ответственна область мозга называемая ""область Вернике""?",Понимание речи,Кратковременная память,Пространственное ощущение,Сон
326,Какое море в XII - XIII века называлось Варяжским?,Балтийское,Чёрное,Азовское,Белое
327,Административным центром каких островов является город Гонолулу?,Гавайских,Панамских,Канарских,Вердинских
328,Какая российская теннисистка в 2004 году выиграла Уимблдонский турнир?,М. Шарапова,Е. Дементьева,А. Мыскина,В. Звонарёва
329,"Какое министерство возглавлял Д. А. Гурьев, который придумал гурьевскую кашу?",Финансов,Полиции,Юстиции,Морское
330,Кто из этих биологов был пионером социобиологии?,Эдвард Осборн Уилсон,Джейн Гудолл,Стивен Гулд,Эрнст Майр
331,Какой великий русский композитор одновременно был известным химиком?,Бородин,Римский-Корсаков,Даргомыжский,Глинка
332,Что изучает семиотика?,Знаки и символы,Человекообразных обезьян,Происхождение слов,Флаги
333,В каком из этих алфавитов меньше всего букв?,Греческий,Латинский,Грузинский,Армянский
334,Какой из учебных предметов не входит в КВАДРИВИУМ - следовавший за тривиумом повышенный цикл обучения в средние века?,Диалектика,Арифметика,Геометрия,Музыка
335,У кого внешний покров состоит из хитина?,Членистоногие,Рыбы,Птицы,Млекопитающие
336,"В каком монастыре восемь лет держали осаду монахи, не принявшие церковные реформы Никона?",Соловецкий,Киевско-Печорский,Оптина Пустынь,Ипатьевский
337,Кто из этих богов и богинь не был сыном или дочерью Зевса?,Деметра,Аполлон,Афина,Гермес
338,Чему дал название хвост петуха?,смеси напитков (коктейль),стрижке панка,букету гладиолусов,детали токарного станка
339,Решите древнеримский пример MD-CLXXX =?,MCCCXX,MCCLXX,MDLXXX,MCLXXX
340,В какой стране зародился стиль рококо?,Франция,Италия,Австрия,Испания
341,Что означает слово ТСУГА?,Хвойное дерево,Лиственное дерево,Народ в Лесото,Народ в Ботсване
342,Какая порода собак не существует?,Монтефорт-терьер,Керн-терьер,Чешский терьер,Силихем-терьер
343,Какие московские пруды назывались когда-то Погаными?,Чистые,Патриаршьи,Борисовские,Царицынские
344,Каким стихотворным размером Гомер написал «Илиаду» и «Одиссею»?,гекзаметром,александрийским стихом,пятистопным ямбом,анапестом
345,Какой стихотворный размер использовал А. С. Пушкин в стихотворении про Вещего Олега?,Амфибрахий,Дактиль,Анапест,Ямб
346,Как в России в старину называли изумруд?,Смарагд,Карбункул,Диамант,Яхонт
347,Кто из этих российских деятелей не имел титул светлейшего князя?,Ромодановский,Меншиков,Кутузов,Горчаков
348,Какое из этих английских графств самое большое по территории?,Хэмпшир,Эссекс,Корнуолл,Стаффордшир
349,Сколько мачт у брига?,2,1,3,4
350,Что из перечисленного изготовляется не из абрикосов?,Сабза,Урюк,Кайса,Курага
351,Какова длина носа Статуи Свободы?,"1,37 м","0,76 м","0,91 м","5,00 м"
352,Кому из этих героев удалось бежать после падения Трои?,Эней,Парис,Троил,Гектор
353,"Из какого языка пришло слово ""алгебра""?",Арабского,Греческого,Санскрита,Иврита
354,Как называется боковая часть пистолета?,Щека,Лоб,Спина,Затылок
355,С каким философом Екатерина II вела дружескую переписку?,Вольтер,Декарт,Руссо,Паскаль
356,"Рояли какой фирмы после советской национализации назывались ""Красный Октябрь""?","""Беккер""","""Бехштейн""","""Блютнер""","""Стейнвей"""
357,Кто в юном возрастел был избран жрецом Юпитера и не имел права садится на коня?,Юлий Цезарь,Марк Антоний,Гней Помпей,Марк Аврелий
358,Уравнение Максвелла относится к...,Электромагнетизму,Классической механике,Статике,Квантовой механике
359,"Как называлась античная мера длины, составляющая чуть меньше двух метров?",оргия,вакханалия,сатурналия,бардак
360,Во что Онегин играл сам с собой в доме своего дяди?,бильярд,шахматы,домино,рулетка
361,Какой буквой греческого алфавита обозначается отношение длины окружности к её диаметру?,Пи,Гамма,Бета,Альфа
362,Какая мышца в теле человека самая крупная?,Ягодичная,Грудная,Икроножная,Дельтовидная
363,Какого цвета были московские метели в песне Пахмутовой?,Синего,Серого,Белого,Черного
364,"Переход к демократической форме правления в какой стране был назван ""бархатной революцией""?",Чехословакия,Португалия,Испания,Польша
365,На какой реке стоит Минск?,Свислочь,Сож,Буг,Западная Двина
366,"Какой древнегреческий философ любил повторять: ""Я знаю, что ничего не знаю""?",Сократ,Демокрит,Эпикур,Аристотель
367,На каком из этих спутников предполагают наличие жидких морей подо льдом?,Европа,Ио,Деймос,Харон
368,Какие водные артерии Петербурга соединяет Зимняя канавка?,Неву с Мойкой,Мойку с каналом Грибоедова,Обводный канал с Фонтанкой,Фонтанку с каналом Грибоедова
369,Как называется один из притоков Невы?,Пряжка,Стежка,Кружка,Ложка
370,В какой стране Элвис Пресли дал концерты в 1957 году?,Канада,Мексика,Франция,Великобритания
371,Композитор Альфред Шнитке родился в городе…,Энгельс,Карл-Маркс-Штадт,Ленинск,Сталинград
372,Какой художник рисует животных?,анималист,баталист,маринист,пейзажист
373,Назовите год присуждения Михаилу Горбачеву Нобелевской премии мира.,1990,1991,1989,1988
374,Какая форма государственного правления Сан-Марино?,Республика,Княжество,Герцогство,Архиепископство
375,За чью дочь выдавала себя княжна Тараканова?,Елизаветы Петровны,Анны Иоанновны,Екатерины I,Петра III
376,"какой пьесе Шекспира Мендельсон написал мелодию, известную как свадебный марш?",«Сон в летнюю ночь»,«Много шума из ничего»,«Укрощение строптивой»,«Комедия ошибок»
377,"Как в государственном праве называется официальное провозглашение (обнародование) закона, принятого парламентом?",Промульгация,Пролификация,Пролексизация,Пролиферация
378,Где были изготовлены самые первые (из дошедших до нас) монеты?,Лидия,Рим,Шумер,Израиль
379,Каким воинским подразделением в 1919 году командовал Чапаев?,Дивизией,Корпусом,Взводом,Полком
380,"Назовите имя героини драмы М. Ю. Лермонтова ""Маскарад""",Нина,Мария,Китти,Лиза
381,"Как называется пневматический ""молоток"" для взламывания асфальта?",Отбойный,Забойный,Убойный,Бесшумный
382,"Что посетила Алиса, попав в Страну чудес?",Безумное чаепитие,Глупый завтрак,Непродуманный обед,Безобразный ужин
383,Какой из городов является столицей Швейцарской конфедерации?,Берн,Базель,Цюрих,Женева
384,Какой химический элемент был впервые получен из морских водорослей?,Йод,Фосфор,Сера,Калий
385,Вождём какого племени был Монтесума?,Ацтеки,Майя,Инки,Ирокезы
386,"В каком направлении НАСА запускает ракеты, чтобы получить преимущество от вращения Земли?",Восток,Север,Юг,Запад
387,Какой город был центром русской колонизации Сибири?,Тобольск,Томск,Тюмень,Иркутск
388,В каком созвездии самая яркая звезда называется Вега?,Лира,Орёл,Гончие Псы,Большая Медведица
389,Какое отчество было у Пьера Безухова?,Кириллович,Александрович,Константинович,Владимирович
390,Чего так боится бленнофоб?,Слизи,Пыли,Голубого цвета,Длинных волос
391,Кто победил на конкурсе ''Мисс Мира'' в 1994 году?,Айшвария Рай,Талиана Варгас,Алёна Казимировская,Инна Зобова
392,Модификацией какого химического элемента является графит?,Углерод,Свинец,Железо,Кремний
393,К какому классу относится большинство известных видов животных?,Насекомые,Млекопитающие,Рыбы,Птицы
394,Как в досоветской России называлась стоянка извозчиков?,Биржа,Рынок,Ставка,Торги
395,Как называется южноамериканский аналог степи?,Пампасы,Саванна,Тундра,Прерия
396,"Как называют боковые побеги томата, вырастающие из пазух листьев?",Пасынки,Свояки,Золовки,Падчерицы
397,Сколько резцов во рту здорового человека?,8,6,2,4
398,На какой конференции союзники по антигитлеровской коалиции создали ООН?,Сан-Франциской,Тегеранской,Постдамской,Ялтинской
399,Какая организация ведала в России XVIII века государственными расходами?,Штатс-коллегия,Юстиц-коллегия,Ревизион-коллегия,Камер-коллегия
400,В каком городе был открыт первый в СССР рок-клуб?,Ленинград,Москва,Вильнюс,Тбилиси
401,"Название какого животного с греческого переводится как ""водяная лошадь""?",Гиппопотам,Носорог,Утконос,Ламантин
402,Какая страна ежегодно дарит Великобритании к Рождеству роскошную ёлку?,Норвегия,Финляндия,Швеция,Дания
403,Как с исландского переводится имя певицы Бьорк?,Берёза,Осина,Ольха,Ясень
404,Назовите административный центр Амурской области.,Благовещенск,Хабаровск,Владивосток,Иркутск
405,"Какую фамилию носила управдом в фильме ""Бриллиантовая рука"" в исполнении Нонны Мордюковой?",Плющ,Хвощ,Мощь,Борщ
406,Кем по специальности был Петр Ильич Чайковский?,Юристом,Химиком,Художником,Врачом
407,"Какого путешественника туземцы Новой Гвинеи прозвали ""человеком с луны""?",Миклухо-Маклая,Джеймса Кука,Френсиса Дрейка,Тура Хейердала
408,"Отзвук произведения какого автора использовал А.С.Пушкин в первой строке ""Евгения Онегина""?",Крылов,Державин,Барков,Лафонтен
409,Из скольки фунтов состоит американская тонна?,2000,1000,200,100
410,"Укажите название свободного населения Древней Греции, обладавшего гражданскими правами",Демос,Метеки,Демиурги,Периэки
411,Из чего сделан корпус кларнета?,древесина,никель,олово,медь
412,Кто был первым талисманом чемпионата мира по футболу?,Львёнок Вилли,Пастушок Гаучито,Пёс Стайкер,Петушок Футикс
413,Какая точка одинакова для шкал Цельсия и Фаренгейта (оба термометра покажут одно и то же)?,-40 градусов,0 градусов,+32 градуса,-18 градусов
414,"Как говорят о человеке, у которого нижняя одежда торчит из-под верхней?",из-под пятницы суббота,из-под зимы лето,из-под утра вечер,семь пятниц на неделе
415,"Кто написал «Камаринскую», о которой П. И. Чайковский сказал, что в ней «заключена вся русская симфоническая музыка»?",М. И. Глинка,Н. А. Римский-Корсаков,М. П. Мусоргский,А. П. Бородин
416,Король какой страны подарил Петру I Янтарную комнату?,Пруссии,Швеции,Франции,Дании
417,Какая достопримечательность находится на берегу реки Джамна?,Тадж Махал,Ангкорвоат,Топкапы,Запретный город
418,"Какая рыба, чтобы освободиться от крючка, часто ""делает свечу""?",Щука,Осетр,Налим,Карась
419,"Кто из лауреатов Нобелевской премии является одним из ""отцов"" лазера?",А. М. Прохоров,П. Л. Капица,А. Д. Сахаров,Л. Д. Ландау
420,Монахи какого ордена ведали инквизицией наряду с доминиканцами?,Францисканцы,Бернардинцы,Паулины,Бенедиктинцы
421,"Кто из этих великих целителей прошлого написал трактат ""О медицине""?",Цельс,Гиппократ,Авиценна,Парацельс
422,"Как назывался пражский трактир, в котором арестовали бравого солдата Швейка?","""У чаши""","""У площади""","""У кружки""","""У рюмашки"""
423,Кто был первым чемпионом мира по шахматам?,Стейниц,Ласкер,Алехин,Калабланка
424,Из чего сделаны пластинки ксилофона?,Из дерева,Из пластмассы,Из меди,Из стали
425,Какой остров раньше назывался Формозой?,Тайвань,Таити,Гаити,Калимантан
426,Какой химический элемент имеет символ Rn?,Радон,Рутений,Рений,Рубидий
427,От слова какого языка произошло слово хоругвь?,Монгольский,Польский,Старославянский,Крымскотатарский
428,"Какие животные, согласно ""Илиаде"", содержались в стойлах царя Авгия, которые очистил Геракл?",Быки,Овцы,Лошади,Единороги
429,Чьё имя до 1924 года носила пионерская организация Советского Союза?,Спартака,Ленина,Троцкого,Макаренко
430,В каком городе обосновалось коллаборационистское правительство Петена в период оккупации Франции немецкими войсками?,Виши,Реймс,Шартр,Бурж
431,"Как называлась северо-восточная часть франкского государства Меровингов, в 6-7 вв. временами обособлявшаяся в отдельное королевство?",Австразия,Дакия,Франкония,Остзея
432,"Название какого головного убора само говорит, что его задача — создавать тень?",сомбреро,канотье,панама,стетсон
433,Где были выкованы металлические звенья Невской ограды Летнего сада?,В Туле,В Екатеринбурге,В Санкт-Петербурге,В Москве
434,"Кто создал Лестерский кодекс - тетрадь научных работ, которую Билл Гейтс приобрел за 30 миллионов долларов?",Леонардо да Винчи,Лейф Эрикссон,Юлий Цезарь,Иоганн Гутенберг
435,Чего боится охлофоб?,Толпы,Змей,Открытого пространства,Наказания
436,"Как в Древнем Риме называли жрецов (или жриц), гадавших только по внутренностям жертвенных животных?",Гаруспики,Авгуры,Весталки,Бестиарии
437,Какой хан Золотой Орды ввел там ислам в качестве государственной религии?,Узбек,Азис,Тохтамыш,Чжанибек
438,Что создал выходец из России Давид Сарнов?,NBC,MTV,CNN,BBC
439,Кто такие парсы?,Зороастрийцы,Каста в Индии,Исмаилиты,Ловцы жемчуга
440,"Каким типом корабля был ""Кореец"", храбро сражавшийся вместе с ""Варягом"" против японской эскадры?",Канонерская лодка,Миноносец,Торпедный катер,Десантный корабль
441,В каком месяце 1941 г. японская авиация напала на Пёрл-Харбор?,Декабрь,Сентябрь,Октябрь,Ноябрь
442,"Как звали царя, трое сыновей которого тоже стали русскими царями?",Алексей,Михаил,Фёдор,Пётр
443,Какая участь постигла национальное достояние Южной Кореи — городские ворота XIV века Суннемун?,их сжёг злоумышленник,разрушены землетрясением,съедены жучком,разрушены землетрясением
444,Что в Якутии после Октябрьской революции 1917 года использовали вместо бумажных денег?,винные этикетки,берестяные грамоты,почтовые марки,театральные билеты
445,В каком году Фернан Магеллан отправился в кругосветное плаванье?,1519,1542,1507,1531
446,Последняя жена Генриха VIII,Екатерина Парр,Екатерина Ховард,Анна Клевская,Евгения Сеймор
447,На какой радиостанции работает Николай Фоменко?,Русское радио,Наше радио,Не наше радио,Европа плюс
448,Выше какого здания Николай I запретил строить дома в Санкт-Петербурге?,Зимний дворец,Исаакиевский собор,Смольный институт,Адмиралтейство
449,Какую внешнюю политику называют дипломатией канонерок?,Открытого насилия,Консервативную,Выжидательную,Дружественную
450,"Как называется коллекционирование музыкальных, литературных и других звукозаписей?",Филофония,Филокартия,Филумения,Филателия
451,Чьим спутником является Харон?,Плутона,Нептуна,Юпитера,Урана
452,В каком из этих фильмов две главные роли сыграли Л. Касаткина и П. Кадочников?,"""Медовый месяц""","""Укрощение строптивой""","""Вызываем огонь на себя""","""Мать Мария"""
453,"В какую часть ""Божественной комедии"" Данте поместил Адама?","""Рай""","""Ад""","""Чистилище""",Он не писал о нем
454,Чему равен один британский фут?,30.48 см,30.50 см,30.52 см,30.43 см
455,"Какая самая высокая гора на Урале, если считать до начала разработки некоторых из них?",Народная,Благодать,Магнитная,Ямантау
456,Кто был вторым космонавтом?,Титов,Гагарин,Терешкова,Армстронг
457,Кто такая золовка?,Сестра мужа,Сестра жены,Жена брата,Дочь крестной
458,К каким обезьянам относился Пират. сыгравший в фильме «Полосатый рейс»?,Шимпанзе,Мартышки,Макаки,Павианы
459,Кто из конкистадоров покорил империю инков?,Франсиско Писарро,Васко Нуньес де Бальбоа,Эрнан Кортес,Франсиско де Орельяна
460,Какую продукцию долгое время единственный в стране выпускал Сясьский комбинат в Ленинградской области?,Туалетную бумагу,Спички,Клей,Телевизоры
461,Назовите основную денежную единицу Венгрии?,Форинт,Лев,Фартинг,Толар
462,Назовите природную среду обитания страуса эму,Австралия,Африка,Южная Америка,Индонезия
463,Кого или что Леонид Семаков в своей песне назвал зеленогорбыми верблюдами?,туристов,черепах,волны,холмы
464,Что изучает колеоптеролог?,Жуков,Ископаемых птиц,Змей,Червей
465,"Кем, согласно древнегреческой мифологии, Электра приходилась Оресту?",Сестра,Мать,Дочь,Жена
466,Как называются денежные купюры Армении?,драмы,комедии,трагедии,фарсы
467,Что на Руси называли ветрилом?,Парус,Киль,Палубу,Борт
468,Облик каких животных принимают отражения лебедей на картине Сальвадора Дали?,слонов,жирафов,пингвинов,страусов
469,Какая единица в системе СИ носит имя изобретателя Николы Тесла?,Магнитной индукции,Электрической проводимости,Радиоактивности,Напряжения
470,Гибрид каких злаков называется ТРИТИКАЛЕ?,Рожь и пшеница,Овес и рис,Просо и ячмень,Пшеница и ячмень
471,Сколько опер написано Бетховеном?,1 (Фиделио),2,3,4
472,"Что в царской России, кроме обычного инвентаря, входило в экипировку дворника?",Свисток,Револьвер,Сабля,Жезл
473,Из какой пьесы Чехова Фаина Раневская взяла свой псевдоним?,"""Вишневый сад""","""Три сестры""","""Свадьба""","""Чайка"""
474,"От названия какой части ноги произошло английское слово ""футбол""?",ступня,голень,колено,бедро
475,Каким было полное имя набоковской Лолиты?,Долорес,Лора,Лаура,Элоиза
476,В какой стране в Средние века был впервые получен этиловый спирт?,Италия,Россия,Германия,Франция
477,Как назывался город Алма-Ата до 1921 г.?,Верный,Гордый,Крепкий,Твердый
478,"Во время какого крестьянского восстания происходит действие пушкинской ""Капитанской дочки""?",Емельяна Пугачева,Нестора Махно,Степана Разина,Ивана Болотникова
479,"На пьедестале чьего памятника высечены слова: ""Остановивший Солнце, сдвинувший Землю""?",Николай Коперник,Галилео Галилей,Джордано Бруно,Клавдий Птолемей
480,Что означает название месяца октябрь?,восьмой,жёлтый,дождливый,десятый
481,Какое море называют дамским?,Саргассово,Адриатическое,Мраморное,Тасманово
482,"Какой английский футбольный клуб называют ""дачниками""?",Фулхэм,Эвертон,Астон Вилла,Болтон
483,Назовите старшую из великих княжон - дочерей Николая II,Ольга,Анастасия,Мария,Татьяна
484,С кем сравнивает себя находящийся в постоянных хлопотах человек?,С белкой в колесе,С пауком в банке,С белкой в колесе,С птицей в клетке
485,Сколько струн у контрабаса?,4,3,5,6
486,"Назовите имя учёного монаха, который первым предложил в 525 г. вести начало счёта годов от рождества Христова.",Дионисий,Гимелий,Парфений,Климентий
487,"Кто написал сказку ""Спящая царевна""?",В. А. Жуковский,И. А. Крылов,М. В. Ломоносов,А. П. Чехов
488,Какое море соединяется с Мраморным проливом Босфор?,Черное,Адриатическое,Эгейское,Средиземное
489,Среди какого народа долго жил Миклухо-Маклай?,Папуасы,Маори,Алеуты,Самоанцы
490,"Как звали Чацкого из ""Горе от ума""?",Александр Андреевич,Алексей Андреевич,Александр Сергеевич,Андрей Александрович
491,В каком городе находится мечеть с самым высоким в мире минаретом?,Касабланка,Стамбул,Мекка,Джакарта
492,"Какой советский космический корабль в 1975 году пристыковался к американскому ""Аполлону""?","""Союз-19""","""Восток-6""","""Восход-2""","""Прогресс-8"""
493,В какой стране расположен город Антверпен?,Бельгия,Нидерланды,Дания,Германия
494,Чем скрепляются между собой различные металлические элементы Эйфелевой башни?,заклёпками,болтами,сварными швами,шурупами-саморезами
495,Что в 1966 году открыли Советские ученые в Антарктике на глубине трех километров?,Пресное озеро,Затонувший корабль,Огромный метеорит,Залежи урана
496,"В каком году было т. н. Кровавое воскресенье в Лондондерри, Сев. Ирландия?",1972,1969,1976,1974
497,Сколько мест в стандартном российском плацкартном вагоне?,54,48,52,56
498,"Какой плод на латыни называется ""армянской сливой""?",абрикос,алыча,персик,айва
499,Сколько длилась дней Великая Отечественная Война?,1418,1520,1456,1475
500,Раньше в примитивных светильниках использовалось деревянное масло. Что это за масло?,Оливковое,Подсолнечное,Льняное,Рыбий жир
501,В какой стране в 1960 году Сиримаво Бандаранаике стала первой женщиной премьер-министром?,Шри-Ланка,Малайзия,Тайланд,Пакистан
502,"Полуостров, разделяющий моря Карское и Лаптевых.",Таймыр,Атолл,Новая Земля,Сахалин
503,"Сколько попыток в самом начале игры даётся игроку в боулинг, чтобы сбить 10 кеглей?",Две,Одна,Три,Четыре
504,Укажите годы жизни М. Мусоргского?,1839-1881,1891-1953,1840-1893,1792-1856
505,Какой хореограф более 30 лет сотрудничал с композитором Игорем Стравинским?,Джордж Баланчин,Майа Плисецкая,Михаил Барышников,Марта Грэм
506,"Какой из легковых автомобилей, производившихся в бывших соц. странах, был фактически советской ""Победой""?","""Варшава""","""Дачиа""","""Застава""","""Трабант"""
507,Как зовут главных героев повести ''Ночевала тучка золотая'' А.Приставкина?,Саша и Коля,Саша и Петя,Саша и Вася,Саша и Ваня
508,Чьими снами интересовались поэт Михаил Матусовский и композитор Владимир Шаинский в совместной песне?,Крейсера «Аврора»,Медного всадника,Исаакиевского собора,Ростральной колонны
509,"В чьи обязанности вxодит указывать крановщику, как поднимать и куда доставлять груз?",Такелажник,Кровельщик,Каменщик,Плановик
510,Кто от имени советского Верховного Главнокомандования принял капитуляцию фашистской Германии?,Жуков,Рокосовский,Конев,Молотов
511,В каком городе происходит действие фильма «Асса»?,Ялта,Алушта,Сочи,Кисловодск
512,Действие какой из новелл Проспера Мериме протекает на Корсике?,"""Маттео Фальконе""","""Таманго""","""Партия в триктрак""","""Этрусская ваза"""
513,Как в СССР называлась одна из разновидностей лотереи?,"""Спринт""","""Старт""","""Кросс""","""Ринг"""
514,"Кто написал поэму ""Ода к радости""?",Фридрих Шиллер,Мартин Лютер,Иоганн Вольфганг фон Гёте,Генрих Гейне
515,Информацию о чём содержит в себе древнеегипетский папирус Ринда?,Математика,Политика,Религия,Любовь
516,Как зовут самую знаменитую героиню детской писательницы Памелы Трэверс?,Мэри Поппинс,Пеппи Длинный чулок,Тутта Карлссон,Гермиона Грейнджер
517,В каком чине был выпущен из лицея Александр Пушкин?,Коллежский секретарь,Надворный советник,Коллежский регистратор,Титулярный советник
